id,name,description,brand,category,subcategory,color,material,price,image_url
PROD00001,Tommy Hilfiger Purple Skirts,This skirts from Tommy Hilfiger is made of high-quality linen in a beautiful purple color. Perfect for any occasion.,Tommy Hilfiger,Clothing,Skirts,Purple,Linen,68.96,https://example.com/images/products/clothing/skirts/1.jpg
PROD00002,Ralph Lauren Purple Sweaters,This sweaters from Ralph Lauren is made of high-quality suede in a beautiful purple color. Perfect for any occasion.,Ralph Lauren,Clothing,Sweaters,Purple,Suede,109.76,https://example.com/images/products/clothing/sweaters/2.jpg
PROD00003,Adidas Navy Pants,This pants from Adidas is made of high-quality denim in a beautiful navy color. Perfect for any occasion.,Adidas,Clothing,Pants,Navy,Denim,97.27,https://example.com/images/products/clothing/pants/3.jpg
PROD00004,Ralph Lauren Brown Hats,This hats from Ralph Lauren is made of high-quality wool in a beautiful brown color. Perfect for any occasion.,Ralph Lauren,Accessories,Hats,Brown,Wool,72.94,https://example.com/images/products/accessories/hats/4.jpg
PROD00005,Prada Blue Boots,This boots from Prada is made of high-quality denim in a beautiful blue color. Perfect for any occasion.,Prada,Shoes,Boots,Blue,Denim,198.15,https://example.com/images/products/shoes/boots/5.jpg
PROD00006,Adidas Beige Flats,This flats from Adidas is made of high-quality suede in a beautiful beige color. Perfect for any occasion.,Adidas,Shoes,Flats,Beige,Suede,63.41,https://example.com/images/products/shoes/flats/6.jpg
PROD00007,Calvin Klein White Hats,This hats from Calvin Klein is made of high-quality suede in a beautiful white color. Perfect for any occasion.,Calvin Klein,Accessories,Hats,White,Suede,123.4,https://example.com/images/products/accessories/hats/7.jpg
PROD00008,Calvin Klein Brown Hats,This hats from Calvin Klein is made of high-quality cotton in a beautiful brown color. Perfect for any occasion.,Calvin Klein,Accessories,Hats,Brown,Cotton,68.07,https://example.com/images/products/accessories/hats/8.jpg
PROD00009,Gucci Pink Dresses,This dresses from Gucci is made of high-quality cashmere in a beautiful pink color. Perfect for any occasion.,Gucci,Clothing,Dresses,Pink,Cashmere,160.31,https://example.com/images/products/clothing/dresses/9.jpg
PROD00010,Prada Teal Scarves,This scarves from Prada is made of high-quality cashmere in a beautiful teal color. Perfect for any occasion.,Prada,Accessories,Scarves,Teal,Cashmere,139.07,https://example.com/images/products/accessories/scarves/10.jpg
