name,description,category,subcategory,price,image_url,local_image_path,features
Turtle Check Men Navy Blue Shirt,Men Shirts in Navy Blue for Casual,Apparel,Topwear,120.0,/static/images/fashion_15970.jpg,static/images/fashion_15970.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""topwear"", ""colors"": [""navy blue""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""shirts"", ""season"": ""fall"", ""year"": 2011}"
Peter England Men Party Blue Jeans,Men Jeans in Blue for Casual,Apparel,Bottomwear,136.0,/static/images/fashion_39386.jpg,static/images/fashion_39386.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""bottomwear"", ""colors"": [""blue""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""jeans"", ""season"": ""summer"", ""year"": 2012}"
Titan Women Silver Watch,Women Watches in Silver for Casual,Accessories,Watches,113.0,/static/images/fashion_59263.jpg,static/images/fashion_59263.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""watches"", ""colors"": [""silver""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""women"", ""article_type"": ""watches"", ""season"": ""winter"", ""year"": 2016}"
Manchester United Men Solid Black Track Pants,Men Track Pants in Black for Casual,Apparel,Bottomwear,129.0,/static/images/fashion_21379.jpg,static/images/fashion_21379.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""bottomwear"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""track pants"", ""season"": ""fall"", ""year"": 2011}"
Puma Men Grey T-shirt,Men Tshirts in Grey for Casual,Apparel,Topwear,109.0,/static/images/fashion_53759.jpg,static/images/fashion_53759.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""topwear"", ""colors"": [""grey""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""tshirts"", ""season"": ""summer"", ""year"": 2012}"
Inkfruit Mens Chain Reaction T-shirt,Men Tshirts in Grey for Casual,Apparel,Topwear,105.0,/static/images/fashion_1855.jpg,static/images/fashion_1855.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""topwear"", ""colors"": [""grey""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""tshirts"", ""season"": ""summer"", ""year"": 2011}"
Fabindia Men Striped Green Shirt,Men Shirts in Green for Ethnic,Apparel,Topwear,55.0,/static/images/fashion_30805.jpg,static/images/fashion_30805.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""topwear"", ""colors"": [""green""], ""patterns"": [], ""style"": [""ethnic""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""shirts"", ""season"": ""summer"", ""year"": 2012}"
Jealous 21 Women Purple Shirt,Women Shirts in Purple for Casual,Apparel,Topwear,110.0,/static/images/fashion_26960.jpg,static/images/fashion_26960.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""topwear"", ""colors"": [""purple""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""women"", ""article_type"": ""shirts"", ""season"": ""summer"", ""year"": 2012}"
Puma Men Pack of 3 Socks,Men Socks in Navy Blue for Casual,Accessories,Socks,64.0,/static/images/fashion_29114.jpg,static/images/fashion_29114.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""socks"", ""colors"": [""navy blue""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""socks"", ""season"": ""summer"", ""year"": 2012}"
Skagen Men Black Watch,Men Watches in Black for Casual,Accessories,Watches,89.0,/static/images/fashion_30039.jpg,static/images/fashion_30039.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""watches"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""watches"", ""season"": ""winter"", ""year"": 2016}"
Puma Men Future Cat Remix SF Black Casual Shoes,Men Casual Shoes in Black for Casual,Footwear,Shoes,54.0,/static/images/fashion_9204.jpg,static/images/fashion_9204.jpg,"{""main_category"": ""footwear"", ""subcategory"": ""shoes"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""casual shoes"", ""season"": ""summer"", ""year"": 2011}"
Fossil Women Black Huarache Weave Belt,Women Belts in Black for Casual,Accessories,Belts,73.0,/static/images/fashion_48123.jpg,static/images/fashion_48123.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""belts"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""women"", ""article_type"": ""belts"", ""season"": ""summer"", ""year"": 2012}"
Fila Men Cush Flex Black Slippers,Men Flip Flops in Black for Casual,Footwear,Flip Flops,103.0,/static/images/fashion_18653.jpg,static/images/fashion_18653.jpg,"{""main_category"": ""footwear"", ""subcategory"": ""flip flops"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""flip flops"", ""season"": ""fall"", ""year"": 2011}"
Murcia Women Blue Handbag,Women Handbags in Blue for Casual,Accessories,Bags,107.0,/static/images/fashion_47957.jpg,static/images/fashion_47957.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""bags"", ""colors"": [""blue""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""women"", ""article_type"": ""handbags"", ""season"": ""summer"", ""year"": 2012}"
Ben 10 Boys Navy Blue Slippers,Boys Flip Flops in Navy Blue for Casual,Footwear,Flip Flops,135.0,/static/images/fashion_46885.jpg,static/images/fashion_46885.jpg,"{""main_category"": ""footwear"", ""subcategory"": ""flip flops"", ""colors"": [""navy blue""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""boys"", ""article_type"": ""flip flops"", ""season"": ""fall"", ""year"": 2012}"
Reid & Taylor Men Check Purple Shirts,Men Shirts in Purple for Formal,Apparel,Topwear,119.0,/static/images/fashion_12369.jpg,static/images/fashion_12369.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""topwear"", ""colors"": [""purple""], ""patterns"": [], ""style"": [""formal""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""shirts"", ""season"": ""fall"", ""year"": 2011}"
Police Men Black Dial Watch PL12889JVSB,Men Watches in Black for Casual,Accessories,Watches,78.0,/static/images/fashion_29928.jpg,static/images/fashion_29928.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""watches"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""watches"", ""season"": ""winter"", ""year"": 2016}"
Gini and Jony Girls Knit White Top,Girls Tops in White for Casual,Apparel,Topwear,69.0,/static/images/fashion_42419.jpg,static/images/fashion_42419.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""topwear"", ""colors"": [""white""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""girls"", ""article_type"": ""tops"", ""season"": ""summer"", ""year"": 2012}"
Bwitch Beige Full-Coverage Bra BW335,Women Bra in Beige for Casual,Apparel,Innerwear,82.0,/static/images/fashion_51832.jpg,static/images/fashion_51832.jpg,"{""main_category"": ""apparel"", ""subcategory"": ""innerwear"", ""colors"": [""beige""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""women"", ""article_type"": ""bra"", ""season"": ""summer"", ""year"": 2016}"
Baggit Women Brown Handbag,Women Handbags in Brown for Casual,Accessories,Bags,109.0,/static/images/fashion_47359.jpg,static/images/fashion_47359.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""bags"", ""colors"": [""brown""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""women"", ""article_type"": ""handbags"", ""season"": ""summer"", ""year"": 2012}"
CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Men Watches in Black for Casual,Accessories,Watches,79.0,/static/images/fashion_17429.jpg,static/images/fashion_17429.jpg,"{""main_category"": ""accessories"", ""subcategory"": ""watches"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""watches"", ""season"": ""winter"", ""year"": 2016}"
ADIDAS Men Spry M Black Sandals,Men Sandals in Black for Casual,Footwear,Sandal,117.0,/static/images/fashion_12967.jpg,static/images/fashion_12967.jpg,"{""main_category"": ""footwear"", ""subcategory"": ""sandal"", ""colors"": [""black""], ""patterns"": [], ""style"": [""casual""], ""material"": """", ""brand"": """", ""gender"": ""men"", ""article_type"": ""sandals"", ""season"": ""fall"", ""year"": 2011}"
